V	uW
0.0	172.921762
0.05	20.4129956
0.1	6.99933435
0.15	4.37486278
0.2	4.08321694
0.25	4.08321694
0.3	3.87396085
0.35	7.33697925
0.4	12.0032309
0.45	18.7531641
0.5	27.9976593
0.55	41.5562208
0.6	57.6500497
0.65	77.0004626
0.7	101.510581
0.75	139.635769
0.8	172.035463
0.85	214.237254
0.9	263.511814
0.95	325.669942
1.0	391.672627
1.05	466.391502
1.1	548.975542
1.15	642.829051
1.2	756.374793
1.25	870.507385
1.3	996.584538
1.35	1132.75717
1.4	1291.79156
1.45	1488.92927
1.5	1616.36004
1.55	1777.32541
1.6	1962.78514
1.65	2135.41463
1.7	2308.33562
1.75	2476.59115
1.8	2656.51033
1.85	2815.43448
1.9	2968.81772
1.95	3120.1602
2.0	3284.91628
2.05	3431.59284
2.1	3570.10495
2.15	3697.53572
2.2	3812.13543
2.25	3923.52836
2.3	4013.34232
2.35	4084.49396
2.4	4142.81432
2.45	4198.8017
2.5	4246.91662
2.55	4293.57309
2.6	4336.1471
2.65	4380.17957
2.7	4418.37963
2.75	4451.91422
2.8	4482.24088
2.85	4511.69303
2.9	4536.18774
2.95	4558.9325
3.0	4588.09314
3.05	4610.5464
3.1	4637.66605
3.15	4661.57682
3.2	4686.36351
3.25	4712.89968
3.3	4738.56041
3.35	4760.13962
3.4	4776.46897
3.45	4792.79924
3.5	4803.58815
3.55	4810.58704
3.6	4817.585
3.65	4825.16689
3.7	4830.7078
3.75	4834.49828
3.8	4840.33069
3.85	4842.37168
3.9	4843.82967
3.95	4844.41314
4.0	4845.87066
4.05	4846.45367
4.1	4844.12117
4.15	4842.95469
4.2	4841.20473
4.25	4840.03918
4.3	4841.78821
4.35	4838.28923
4.4	4834.49828
4.45	4828.95784
4.5	4821.66791
4.55	4815.544
4.6	4812.33653
4.65	4810.29507
4.7	4810.58704
4.75	4811.75352
4.8	4815.544
4.85	4819.04345
4.9	4823.4174
4.95	4825.75037
5.0	4827.49939
5.05	4829.54131
5.1	4829.54131
5.15	4826.04187
5.2	4818.75148
5.25	4807.67107
5.3	4795.13174
5.35	4778.21892
5.4	4759.84812
5.45	4742.35136
5.5	4726.60502
5.55	4711.4417
5.6	4698.02786
5.65	4684.90599
5.7	4671.49168
5.75	4656.91136
5.8	4644.95597
5.85	4637.08304
5.9	4629.20917
5.95	4621.91924
6.0	4614.62885
6.05	4609.38038
6.1	4602.96497
6.15	4595.96608
6.2	4588.96812
6.25	4577.88678
6.3	4567.38891
6.35	4555.14202
6.4	4539.97822
6.45	4525.98138
6.5	4507.61057
6.55	4488.9478
6.6	4470.577
6.65	4451.33122
6.7	4435.58441
6.75	4422.75405
6.8	4412.25618
6.85	4399.13385
6.9	4388.92748
6.95	4374.63913
7.0	4359.76731
