V	uW
0.0	228.909747
0.05	24.4955263
0.1	8.74886791
0.15	4.95798349
0.2	4.66650908
0.25	6.12439635
0.3	6.16306079
0.35	11.4749864
0.4	19.0172977
0.45	29.817209
0.5	44.3148929
0.55	65.5918702
0.6	91.2116448
0.65	121.757061
0.7	165.080084
0.75	212.91661
0.8	267.972646
0.85	332.801428
0.9	407.373562
0.95	499.818358
1.0	595.843594
1.05	703.196973
1.1	819.677429
1.15	949.364272
1.2	1106.05091
1.25	1260.59528
1.3	1472.01621
1.35	1620.44237
1.4	1826.89796
1.45	2026.93813
1.5	2237.76768
1.55	2451.8047
1.6	2696.75162
1.65	2924.78618
1.7	3156.90204
1.75	3384.64486
1.8	3632.50752
1.85	3854.41794
1.9	4069.03867
1.95	4281.3262
2.0	4505.86062
2.05	4711.14973
2.1	4913.81437
2.15	5108.60607
2.2	5285.31754
2.25	5459.98802
2.3	5597.62493
2.35	5717.183
2.4	5819.82732
2.45	5905.55882
2.5	5968.54556
2.55	6020.74247
2.6	6065.35748
2.65	6110.26492
2.7	6151.38048
2.75	6190.16401
2.8	6226.90609
2.85	6257.81575
2.9	6283.18544
2.95	6310.30463
3.0	6337.42334
3.05	6362.21003
3.1	6388.7462
3.15	6408.28302
3.2	6428.69575
3.25	6447.94153
3.3	6469.22877
3.35	6489.64057
3.4	6508.59484
3.45	6526.38264
3.5	6548.54486
3.55	6570.41511
3.6	6588.2029
3.65	6605.11618
3.7	6614.44757
3.75	6615.32255
3.8	6615.32255
3.85	6614.1556
3.9	6616.4881
3.95	6617.36308
4.0	6619.40454
4.05	6623.77849
4.1	6624.36197
4.15	6627.56944
4.2	6635.15087
4.25	6641.27478
4.3	6650.3142
4.35	6660.81207
4.4	6669.26848
4.45	6679.47484
4.5	6690.84769
4.55	6702.2196
4.6	6710.96798
4.65	6720.59087
4.7	6728.17277
4.75	6738.08763
4.8	6748.00202
4.85	6757.62445
4.9	6768.99729
4.95	6780.66164
5.0	6786.78462
5.05	6793.2005
5.1	6796.69948
5.15	6796.69948
5.2	6795.82451
5.25	6792.32553
5.3	6789.70153
5.35	6784.7441
5.4	6778.91169
5.45	6772.49627
5.5	6764.62334
5.55	6756.45843
5.6	6750.33452
5.65	6743.6276
5.7	6737.50415
5.75	6729.04775
5.8	6717.3834
5.85	6706.30205
5.9	6691.72173
5.95	6677.43338
6.0	6662.56202
6.05	6647.3987
6.1	6637.7758
6.15	6629.6109
6.2	6625.23694
6.25	6623.48699
6.3	6619.98801
6.35	6613.57259
6.4	6606.28267
6.45	6597.53382
6.5	6581.20448
6.55	6550.29435
6.6	6515.88524
6.65	6486.72506
6.7	6465.14585
6.75	6440.3601
6.8	6417.61534
6.85	6392.53715
6.9	6372.41593
6.95	6351.71216
7.0	6333.63286
