V	uW
0.0	155.133923
0.05	18.6634625
0.1	6.4160422
0.15	5.24962934
0.2	4.08321694
0.25	1.58483908
0.3	2.96417488
0.35	5.60545914
0.4	9.2445589
0.45	14.5564636
0.5	21.6585813
0.55	32.1940715
0.6	44.4110665
0.65	59.7525941
0.7	78.8482357
0.75	104.623403
0.8	137.434705
0.85	166.958329
0.9	204.611264
0.95	252.271711
1.0	302.51476
1.05	359.360944
1.1	422.810379
1.15	494.858657
1.2	581.639411
1.25	668.596185
1.3	764.15186
1.35	866.428076
1.4	985.667226
1.45	1101.79547
1.5	1224.9673
1.55	1394.74135
1.6	1507.88354
1.65	1639.10503
1.7	1775.5758
1.75	1910.58812
1.8	2057.55653
1.85	2191.69399
1.9	2322.04096
1.95	2455.88692
2.0	2606.35465
2.05	2740.78408
2.1	2872.88055
2.15	2996.52014
2.2	3111.12055
2.25	3231.26162
2.3	3334.19745
2.35	3429.55207
2.4	3520.24031
2.45	3611.80422
2.5	3685.2879
2.55	3753.81508
2.6	3815.92684
2.65	3879.49613
2.7	3933.44322
2.75	3983.01519
2.8	4030.83861
2.85	4082.45204
2.9	4123.56807
2.95	4167.89204
3.0	4208.13402
3.05	4246.33315
3.1	4288.03312
3.15	4322.15026
3.2	4352.18588
3.25	4377.84707
3.3	4397.67586
3.35	4409.04871
3.4	4418.6716
3.45	4423.33706
3.5	4426.83604
3.55	4430.62698
3.6	4432.66844
3.65	4434.4184
3.7	4436.45893
3.75	4436.45893
3.8	4436.7509
3.85	4436.7509
3.9	4436.16742
3.95	4432.95995
4.0	4431.20999
4.05	4426.83604
4.1	4425.66955
4.15	4423.92053
4.2	4420.42155
4.25	4420.42155
4.3	4420.42155
4.35	4419.83808
4.4	4419.83808
4.45	4418.37963
4.5	4410.21519
4.55	4399.42582
4.6	4385.137
4.65	4373.18161
4.7	4364.14126
4.75	4355.39335
4.8	4351.3109
4.85	4349.56187
4.9	4349.2699
4.95	4348.6869
5.0	4345.77046
5.05	4336.73058
5.1	4325.94167
5.15	4314.86079
5.2	4303.77945
5.25	4296.19802
5.3	4286.57513
5.35	4279.28474
5.4	4269.37081
5.45	4260.03942
5.5	4252.16556
5.55	4246.33315
5.6	4240.79364
5.65	4239.62669
5.7	4238.75172
5.75	4238.46021
5.8	4234.37776
5.85	4233.79475
5.9	4230.87878
5.95	4230.0038
6.0	4223.29688
6.05	4213.9655
6.1	4203.75913
6.15	4190.34576
6.2	4176.05694
6.25	4161.76813
6.3	4150.39621
6.35	4141.9398
6.4	4134.94091
6.45	4126.48451
6.5	4119.48562
6.55	4110.7377
6.6	4098.49081
6.65	4087.40947
6.7	4074.2876
6.75	4061.74874
6.8	4051.54238
6.85	4042.79446
6.9	4036.67055
6.95	4030.54664
7.0	4026.17268
