V	uW
2.4	4694.52841
2.45	4777.05244
2.5	4832.45682
2.55	4882.32169
2.6	4921.97927
2.65	4963.38727
2.7	4993.13045
2.75	5025.49857
2.8	5054.65874
2.85	5084.98587
2.9	5116.1875
2.95	5145.05617
3.0	5176.84082
3.05	5209.50044
3.1	5247.11702
3.15	5268.98773
3.2	5287.94201
3.25	5290.27451
3.3	5300.18937
3.35	5310.68724
3.4	5332.26551
3.45	5352.96975
3.5	5372.799
3.55	5382.12992
3.6	5392.04478
3.65	5398.75124
3.7	5405.16665
3.75	5413.62306
3.8	5421.20542
3.85	5432.57734
3.9	5442.20023
3.95	5452.99007
4.0	5452.11509
4.05	5451.53162
4.1	5437.53477
4.15	5430.53634
4.2	5418.28899
4.25	5424.12093
4.3	5428.49489
4.35	5439.57623
4.4	5443.65868
4.45	5440.1597
4.5	5443.36671
4.55	5445.11667
4.6	5445.4077
4.65	5440.45027
4.7	5438.11778
4.75	5436.36829
4.8	5438.70125
4.85	5429.66183
4.9	5420.03848
4.95	5399.62621
5.0	5393.2108
5.05	5384.75439
5.1	5383.0049
5.15	5370.46557
5.2	5361.13419
5.25	5347.72081
5.3	5341.01436
5.35	5336.63947
5.4	5334.30697
5.45	5337.22294
5.5	5338.68093
5.55	5338.38943
5.6	5330.22452
5.65	5324.10061
5.7	5311.27024
5.75	5310.39573
5.8	5302.52233
5.85	5307.47976
5.9	5299.60589
5.95	5292.31597
6.0	5268.69623
6.05	5242.74306
6.1	5201.6275
6.15	5164.59392
6.2	5137.47474
6.25	5121.14447
6.3	5111.81355
6.35	5101.60718
6.4	5090.52677
6.45	5074.77997
6.5	5063.69863
6.55	5054.07574
6.6	5054.36724
6.65	5049.40981
6.7	5054.65874
6.75	5055.82569
6.8	5061.07463
6.85	5054.95071
6.9	5058.7412
6.95	5059.32467
7.0	5062.24111
