V	uW
0.0	226.868404
0.05	24.2038805
0.1	9.04051376
0.15	5.54127564
0.2	4.95798349
0.25	6.4160422
0.3	6.51524488
0.35	12.4141088
0.4	20.4846856
0.45	31.9889223
0.5	47.7192189
0.55	70.8744337
0.6	98.7462408
0.65	136.612987
0.7	175.116962
0.75	231.229496
0.8	292.096345
0.85	363.352214
0.9	446.581893
0.95	550.707045
1.0	660.114747
1.05	783.697295
1.1	918.549369
1.15	1068.98497
1.2	1248.1811
1.25	1463.85143
1.3	1621.60897
1.35	1820.48278
1.4	2053.47408
1.45	2275.3845
1.5	2503.12686
1.55	2729.41124
1.6	2989.81369
1.65	3240.30127
1.7	3478.24953
1.75	3712.99032
1.8	3968.43534
1.85	4195.8862
1.9	4416.33817
1.95	4631.25063
2.0	4868.03288
2.05	5081.48689
2.1	5296.69039
2.15	5501.39602
2.2	5682.77342
2.25	5856.56893
2.3	5990.12384
2.35	6099.76705
2.4	6196.57896
2.45	6290.76688
2.5	6367.16699
2.55	6439.77663
2.6	6505.09587
2.65	6572.16506
2.7	6629.6109
2.75	6685.59875
2.8	6735.4627
2.85	6785.91011
2.9	6829.06713
2.95	6867.55916
3.0	6903.71823
3.05	6939.00231
3.1	6977.49387
3.15	7010.445
3.2	7043.10462
3.25	7075.18077
3.3	7105.50789
3.35	7132.0436
3.4	7158.28827
3.45	7178.11706
3.5	7196.19682
3.55	7208.73568
3.6	7213.69311
3.65	7216.02561
3.7	7216.02561
3.75	7217.4836
3.8	7218.94205
3.85	7221.27454
3.9	7227.10649
3.95	7233.2304
4.0	7240.22882
4.05	7246.64424
4.1	7251.01819
4.15	7253.93416
4.2	7255.39215
4.25	7253.93416
4.3	7254.80868
4.35	7254.22567
4.4	7253.05965
4.45	7249.26824
4.5	7243.43676
4.55	7234.68792
4.6	7224.77399
4.65	7216.90059
4.7	7211.65165
4.75	7209.31916
4.8	7207.5692
4.85	7205.52821
4.9	7197.94631
4.95	7187.1574
5.0	7176.36757
5.05	7166.16167
5.1	7158.87081
5.15	7154.20535
5.2	7149.83139
5.25	7145.74894
5.3	7141.95846
5.35	7133.79355
5.4	7125.91968
5.45	7116.88027
5.5	7109.29884
5.55	7102.59145
5.6	7091.51104
5.65	7081.88815
5.7	7071.97376
5.75	7057.68494
5.8	7040.48062
5.85	7022.69236
5.9	7006.36255
5.95	6986.24179
6.0	6966.41253
6.05	6949.50018
6.1	6931.12891
6.15	6910.13318
6.2	6888.8464
6.25	6864.93516
6.3	6845.10591
6.35	6826.44313
6.4	6808.94731
6.45	6791.74205
6.5	6773.95426
6.55	6755.87496
6.6	6738.37913
6.65	6720.29937
6.7	6703.67805
6.75	6687.05627
6.8	6670.14346
6.85	6653.52261
6.9	6635.44238
6.95	6619.69651
7.0	6600.15875
V	uW
0.0	176.129353
0.05	18.6634625
0.1	8.1657472
0.15	4.66650908
0.2	4.95798349
0.25	4.95798349
0.3	4.9891637
0.35	9.36194647
0.4	15.6716669
0.45	24.5346419
0.5	36.6845306
0.55	54.293072
0.6	75.1644038
0.65	99.8385076
0.7	135.262992
0.75	172.622444
0.8	217.083973
0.85	271.230208
0.9	333.241624
0.95	410.572451
1.0	492.45212
1.05	584.2807
1.1	685.588398
1.15	797.93093
1.2	932.489464
1.25	1064.40671
1.3	1206.53689
1.35	1404.94748
1.4	1546.37534
1.45	1710.83969
1.5	1884.05241
1.55	2056.97306
1.6	2252.34777
1.65	2427.30975
1.7	2604.02192
1.75	2774.60995
1.8	2964.44376
1.85	3133.5738
1.9	3297.45561
1.95	3468.33491
2.0	3654.66997
2.05	3815.63511
2.1	3971.35178
2.15	4122.69402
2.2	4260.91347
2.25	4401.46727
2.3	4511.40106
2.35	4611.71288
