V	MHz
0.0	64.07397844
0.02442002442	64.19272607
0.04884004884	64.45700303
0.0732600732601	64.55677711
0.0976800976801	64.81487889
0.1221001221	65.05553208
0.14652014652	65.1646232
0.17094017094	65.41837028
0.19536019536	65.51285002
0.21978021978	65.7613663
0.2442002442	65.99772288
0.26862026862	66.10289227
0.29304029304	66.34670455
0.31746031746	66.43939175
0.34188034188	66.67850741
0.3663003663	66.9061036
0.39072039072	67.00750954
0.41514041514	67.24166463
0.43956043956	67.32912011
0.46398046398	67.56339826
0.4884004884	67.78216812
0.512820512821	67.87640432
0.537240537241	68.10787275
0.561660561661	68.19162591
0.586080586081	68.41531659
0.610500610501	68.63097146
0.634920634921	68.71929902
0.659340659341	68.9371989
0.683760683761	69.02384072
0.708180708181	69.24221714
0.732600732601	69.45595435
0.757020757021	69.54194488
0.781440781441	69.75428076
0.805860805861	69.83475763
0.830280830281	70.05056069
0.854700854701	70.25734699
0.879120879121	70.33907134
0.903540903541	70.54960349
0.927960927961	70.62791147
0.952380952381	70.83421089
0.976800976801	71.04012134
1.00122100122	71.11934399
1.02564102564	71.32514383
1.05006105006	71.40255603
1.07448107448	71.60944633
1.0989010989	71.81314175
1.12332112332	71.89053661
1.14774114774	72.09406309
1.17216117216	72.1725526
1.19658119658	72.37592351
1.221001221	72.5808764
1.24542124542	72.65670133
1.26984126984	72.86261858
1.29426129426	73.04754009
1.31868131868	73.1452552
1.3431013431	73.35519489
1.36752136752	73.43165012
1.39194139194	73.63697593
1.41636141636	73.82395971
1.44078144078	73.92281799
1.4652014652	74.12997283
1.48962148962	74.21086742
1.51404151404	74.4191349
1.53846153846	74.61000034
1.56288156288	74.70887732
1.5873015873	74.92063559
1.61172161172	75.00183802
1.63614163614	75.21972517
1.66056166056	75.42047897
1.68498168498	75.52214599
1.7094017094	75.74214702
1.73382173382	75.82580246
1.75824175824	76.04707693
1.78266178266	76.25199084
1.80708180708	76.3545837
1.8315018315	76.57433076
1.85592185592	76.65721469
1.88034188034	76.87417001
1.90476190476	77.07674745
1.92918192918	77.17250982
1.9536019536	77.38496285
1.97802197802	77.46438354
2.00244200244	77.67672144
2.02686202686	77.87337413
2.05128205128	77.9627516
2.0757020757	78.16921456
2.10012210012	78.24654468
2.12454212454	78.45042809
2.14896214896	78.6423808
2.17338217338	78.72791481
2.1978021978	78.92537112
2.22222222222	79.00016287
2.24664224664	79.19743063
2.27106227106	79.38679279
2.29548229548	79.46684873
2.3199023199	79.65958847
2.34432234432	79.73090029
2.36874236874	79.92262807
2.39316239316	80.10861264
2.41758241758	80.18680127
2.442002442	80.37534333
2.46642246642	80.4469168
2.49084249084	80.63330958
2.51526251526	80.81620708
2.53968253968	80.89046763
2.5641025641	81.07526165
2.58852258852	81.14701538
2.61294261294	81.3304946
2.63736263736	81.51062273
2.66178266178	81.583007
2.6862026862	81.76420863
2.71062271062	81.83201498
2.73504273504	82.0121117
2.75946275946	82.19239504
2.78388278388	82.26137751
2.8083028083	82.43943159
2.83272283272	82.50548016
2.85714285714	82.68507578
2.88156288156	82.86246565
2.90598290598	82.92975395
2.9304029304	83.10497711
2.95482295482	83.17439471
2.97924297924	83.34957141
3.00366300366	83.52490163
3.02808302808	83.59184085
3.0525030525	83.76602518
3.07692307692	83.92128084
3.10134310134	84.00672344
3.12576312576	84.17841962
3.15018315018	84.24307074
3.1746031746	84.41613149
3.19902319902	84.57227955
3.22344322344	84.65475484
3.24786324786	84.82680622
3.27228327228	84.89065655
3.2967032967	85.06079984
3.32112332112	85.21925759
3.34554334554	85.29719504
3.36996336996	85.46867883
3.39438339438	85.53554602
3.4188034188	85.70577828
3.44322344322	85.86103258
3.46764346764	85.93894435
3.49206349206	86.10663833
3.51648351648	86.17088565
3.5409035409	86.33913077
3.56532356532	86.49832464
3.58974358974	86.57114829
3.61416361416	86.74119342
3.63858363858	86.804725
3.663003663	86.97283672
3.68742368742	87.13367786
3.71184371184	87.20659079
3.73626373626	87.37434125
3.76068376068	87.43868544
3.7851037851	87.60557508
3.80952380952	87.7667021
3.83394383394	87.83571549
3.85836385836	88.00792251
3.88278388278	88.07212691
3.9072039072	88.24282519
3.93162393162	88.40948343
3.95604395604	88.47914532
3.98046398046	88.64543017
4.00488400488	88.70845515
4.0293040293	88.87628654
4.05372405372	89.03934939
4.07814407814	89.10656544
4.10256410256	89.27315618
4.12698412698	89.33508914
4.1514041514	89.50386214
4.17582417582	89.66979639
4.20024420024	89.73409695
4.22466422466	89.90301052
4.24908424908	89.96499137
4.2735042735	90.13116875
4.29792429792	90.29576917
4.32234432234	90.35633264
4.34676434676	90.52126397
4.37118437118	90.58675615
4.3956043956	90.7547954
4.42002442002	90.91794267
4.44444444444	90.98453886
4.46886446886	91.15053786
4.49328449328	91.29397277
4.5177045177	91.37581249
4.54212454212	91.54244357
4.56654456654	91.6041341
4.59096459096	91.77036299
4.61538461538	91.92297961
4.6398046398	92.002358
4.66422466422	92.1698747
4.68864468864	92.23192542
4.71306471306	92.40153262
4.73748473748	92.55392683
4.7619047619	92.63114188
4.78632478632	92.80200291
4.81074481074	92.86503643
4.83516483516	93.03156449
4.85958485958	93.18610195
4.884004884	93.26296055
4.90842490842	93.43037173
4.93284493284	93.49401487
4.95726495726	93.66271565
4.98168498168	93.82011334
5.0061050061	93.89544389
5.03052503053	94.06298133
5.05494505495	94.12982428
5.07936507937	94.2964563
5.10378510379	94.45760007
5.12820512821	94.53189384
5.15262515263	94.70146153
5.17704517705	94.76720584
5.20146520147	94.9354694
5.22588522589	95.09439957
