V	MHz
0.0	64.13925254
0.004884004884	64.15343632
0.00976800976801	64.17409029
0.014652014652	64.22832393
0.019536019536	64.28298828
0.02442002442	64.30246086
0.029304029304	64.35558606
0.034188034188	64.40328082
0.039072039072	64.4282897
0.043956043956	64.48047163
0.04884004884	64.49890273
0.0537240537241	64.55328665
0.0586080586081	64.60159629
0.0634920634921	64.62549855
0.0683760683761	64.67781498
0.0732600732601	64.69774688
0.0781440781441	64.74903576
0.0830280830281	64.79493643
0.0879120879121	64.81904716
0.0927960927961	64.87367797
0.0976800976801	64.89360596
0.102564102564	64.94509158
0.107448107448	64.99393412
0.112332112332	65.0171258
0.117216117216	65.06838793
0.1221001221	65.08717808
0.126984126984	65.13807996
0.131868131868	65.1875469
0.136752136752	65.20973408
0.141636141636	65.26040869
0.14652014652	65.27994066
0.151404151404	65.330686
0.156288156288	65.37858706
0.161172161172	65.39915493
0.166056166056	65.4508762
0.17094017094	65.4703245
0.175824175824	65.52154421
0.180708180708	65.57035513
0.185592185592	65.59158002
0.190476190476	65.64204162
0.19536019536	65.66093314
0.200244200244	65.71058048
0.205128205128	65.76057888
0.210012210012	65.77993692
0.214896214896	65.83044948
0.21978021978	65.84917311
0.224664224664	65.89942869
0.229548229548	65.94792943
0.234432234432	65.96680038
0.239316239316	66.01591153
0.2442002442	66.03544499
0.249084249084	66.08524793
0.253968253968	66.13394588
0.258852258852	66.15320307
0.263736263736	66.20328805
0.26862026862	66.22154216
0.273504273504	66.27002972
0.278388278388	66.31787984
0.283272283272	66.33645706
0.288156288156	66.38563745
0.29304029304	66.42963925
0.297924297924	66.45242554
0.302808302808	66.50085654
0.307692307692	66.51949504
0.312576312576	66.56717045
0.31746031746	66.60975651
0.322344322344	66.63296952
0.327228327228	66.68220698
0.332112332112	66.70085264
0.336996336996	66.74924751
0.34188034188	66.79438744
0.346764346764	66.81677261
0.351648351648	66.86442846
0.356532356532	66.88223631
0.361416361416	66.92999659
0.3663003663	66.97555869
0.371184371184	66.99665313
0.376068376068	67.04408876
0.380952380952	67.06251712
0.385836385836	67.10995202
0.39072039072	67.15491958
0.395604395604	67.17558698
0.400488400488	67.22437268
0.405372405372	67.24233836
0.410256410256	67.29005816
0.41514041514	67.33478363
0.420024420024	67.35455404
0.424908424908	67.40155126
0.429792429792	67.41855631
0.434676434676	67.46450471
0.43956043956	67.51047832
0.444444444444	67.52915954
0.449328449328	67.57643567
0.454212454212	67.59480154
0.459096459096	67.64059097
0.46398046398	67.68638741
0.468864468864	67.70392484
0.473748473748	67.74909335
0.478632478632	67.76676924
0.483516483516	67.81409807
0.4884004884	67.85991667
0.493284493284	67.87728523
0.498168498168	67.9234591
0.503052503053	67.94158737
0.507936507937	67.98701199
0.512820512821	68.03217175
0.517704517705	68.04963692
0.522588522589	68.09649845
0.527472527473	68.1374679
0.532356532357	68.15867392
0.537240537241	68.20423287
0.542124542125	68.2213649
0.547008547009	68.26722934
0.551892551893	68.30842447
0.556776556777	68.32975922
0.561660561661	68.37568405
0.566544566545	68.39345365
0.571428571429	68.43847292
0.576312576313	68.48043077
0.581196581197	68.50058242
0.586080586081	68.54557558
0.590964590965	68.56261613
0.595848595849	68.60732854
0.600732600733	68.64965436
0.605616605617	68.66890266
0.610500610501	68.71338393
0.615384615385	68.73027979
0.620268620269	68.77433934
0.625152625153	68.81668898
0.630036630037	68.83560912
0.634920634921	68.88090362
0.639804639805	68.89815369
0.644688644689	68.94303762
0.649572649573	68.98547281
0.654456654457	69.0043274
0.659340659341	69.04921847
0.664224664225	69.06596067
0.669108669109	69.10776699
0.673992673993	69.15121453
0.678876678877	69.16914301
0.683760683761	69.21394049
0.688644688645	69.23056599
0.693528693529	69.27480898
0.698412698413	69.3185625
0.703296703297	69.33596351
0.708180708181	69.37973334
0.713064713065	69.39651317
0.717948717949	69.44105779
0.722832722833	69.48501463
0.727716727717	69.50157826
0.732600732601	69.5459419
0.737484737485	69.5620235
0.742368742369	69.60504008
0.747252747253	69.64756498
0.752136752137	69.6644374
0.757020757021	69.7076552
0.761904761905	69.723963
0.766788766789	69.76630446
0.771672771673	69.80969353
0.776556776557	69.82589616
0.781440781441	69.8683587
0.786324786325	69.88455125
0.791208791209	69.92720591
0.796092796093	69.97058788
0.800976800977	69.98739566
0.805860805861	70.02992948
0.810744810745	70.06834998
0.815628815629	70.08886809
0.820512820513	70.13204853
0.825396825397	70.14768222
0.830280830281	70.1906994
0.835164835165	70.22963028
0.840048840049	70.25002353
0.844932844933	70.29260908
0.849816849817	70.3086317
0.854700854701	70.35091021
0.859584859585	70.3894287
0.864468864469	70.409915
0.869352869353	70.45331451
0.874236874237	70.46930372
0.879120879121	70.51175219
0.884004884005	70.55017968
0.888888888889	70.57053857
0.893772893773	70.61317995
0.898656898657	70.62905824
0.903540903541	70.67024668
0.908424908425	70.70926076
0.913308913309	70.72948447
0.918192918193	70.77210961
0.923076923077	70.78807485
0.927960927961	70.82976724
0.932844932845	70.8672888
0.937728937729	70.88696739
0.942612942613	70.92778716
0.947496947497	70.94415917
0.952380952381	70.98647348
0.957264957265	71.02477669
0.962148962149	71.04442759
0.967032967033	71.08666416
0.971916971917	71.10265077
0.976800976801	71.14413243
0.981684981685	71.18108705
0.986568986569	71.2009773
0.991452991453	71.2434837
0.996336996337	71.2587537
1.00122100122	71.29960351
1.00610500611	71.33693217
1.01098901099	71.35604931
1.01587301587	71.39692105
1.02075702076	71.41282173
1.02564102564	71.45419418
1.03052503053	71.49209194
1.03540903541	71.51168619
1.04029304029	71.55203144
