V	uW
0.0	277.60744
0.05	23.6207597
0.1	7.87410136
0.15	3.79157063
0.2	3.20844993
0.25	3.50009623
0.3	2.28918589
0.35	4.25548069
0.4	7.04348895
0.45	11.0641085
0.5	16.8749211
0.55	25.180294
0.6	35.3332434
0.65	47.6732312
0.7	63.4715689
0.75	84.8835261
0.8	108.775777
0.85	142.658551
0.9	172.21157
0.95	215.616616
1.0	262.631365
1.05	317.159167
1.1	378.818368
1.15	450.514461
1.2	539.40824
1.25	630.532391
1.3	733.630382
1.35	848.291325
1.4	986.577012
1.45	1126.68227
1.5	1280.22872
1.55	1496.51105
1.6	1652.81072
1.65	1839.72833
1.7	2039.76873
1.75	2251.18129
1.8	2495.8367
1.85	2729.41124
1.9	2973.48341
1.95	3230.96989
2.0	3518.19955
2.05	3780.93403
2.1	4030.25514
2.15	4267.32935
2.2	4494.19674
2.25	4721.06459
2.3	4910.89886
2.35	5081.77793
2.4	5223.78879
2.45	5355.59375
2.5	5455.61407
2.55	5540.17909
2.6	5615.12122
2.65	5689.48034
2.7	5744.01021
2.75	5790.66668
2.8	5827.11771
2.85	5866.77529
2.9	5897.39392
2.95	5925.09611
3.0	5946.67485
3.05	5960.6717
3.1	5974.37704
3.15	5985.45792
3.2	5990.99882
3.25	5993.91432
3.3	5994.7893
3.35	5992.74831
3.4	5992.4568
3.45	5987.79134
3.5	5982.54241
3.55	5974.96005
3.6	5971.75257
3.65	5967.08711
3.7	5961.2547
3.75	5958.6307
3.8	5956.58924
3.85	5953.38177
3.9	5950.17429
3.95	5944.63386
4.0	5937.34346
4.05	5925.09611
4.1	5912.26574
4.15	5896.51894
4.2	5884.27112
4.25	5869.98323
4.3	5856.56893
4.35	5842.57208
4.4	5831.1997
4.45	5822.45179
4.5	5814.86989
4.55	5801.74802
4.6	5785.41774
4.65	5765.88092
4.7	5742.55176
4.75	5711.05909
4.8	5683.6484
4.85	5655.94621
4.9	5632.0345
4.95	5606.95631
5.0	5585.96104
