V	uW
0.0	206.456258
0.05	20.4129956
0.1	7.29080875
0.15	4.37486278
0.2	2.91680385
0.25	3.50009623
0.3	2.11310453
0.35	4.13809357
0.4	6.98479516
0.45	11.0054152
0.5	16.6107893
0.55	24.857467
0.6	34.6802262
0.65	46.838657
0.7	62.3236701
0.75	83.4574312
0.8	106.846004
0.85	139.987926
0.9	168.836574
0.95	211.449238
1.0	257.23147
1.05	310.409232
1.1	370.718451
1.15	440.653675
1.2	526.495278
1.25	615.975994
1.3	715.728384
1.35	827.073061
1.4	962.688122
1.45	1098.21511
1.5	1246.12683
1.55	1454.52016
1.6	1606.73715
1.65	1788.40617
1.7	1978.24044
1.75	2180.32161
1.8	2408.93895
1.85	2622.68446
1.9	2845.46963
1.95	3075.25345
2.0	3333.90594
2.05	3571.27073
2.1	3803.67902
2.15	4023.25718
2.2	4241.08515
2.25	4460.37063
2.3	4643.20602
2.35	4805.04613
2.4	4943.84998
2.45	5073.90499
2.5	5173.92484
2.55	5257.90686
2.6	5335.76543
2.65	5408.9576
2.7	5459.11351
2.75	5510.72741
2.8	5548.34446
2.85	5586.83556
2.9	5616.5792
2.95	5637.57494
3.0	5652.73874
3.05	5665.27713
3.1	5673.15053
3.15	5679.85745
3.2	5682.18995
3.25	5680.44093
3.3	5681.60694
3.35	5680.14942
3.4	5674.60852
3.45	5667.02662
3.5	5664.98563
3.55	5658.86172
3.6	5655.94621
3.65	5652.44677
3.7	5645.73985
3.75	5640.78242
3.8	5632.0345
3.85	5628.24355
3.9	5623.57809
3.95	5615.41272
4.0	5610.45529
4.05	5601.99888
4.1	5592.66796
4.15	5581.29558
4.2	5571.08922
4.25	5561.46633
4.3	5551.55193
4.35	5541.05407
4.4	5531.72268
4.45	5524.72472
4.5	5516.26738
4.55	5510.43591
4.6	5504.02049
4.65	5497.02207
4.7	5494.10563
4.75	5488.8567
4.8	5478.9423
4.85	5481.27526
4.9	5480.10878
4.95	5467.56992
5.0	5464.07048
