V	uW
0.0	142.886507
0.05	15.4556983
0.1	6.7076885
0.15	3.50009623
0.2	2.91680385
0.25	0.763126309
0.3	1.35006405
0.35	2.40657346
0.4	4.020706
0.45	6.36849973
0.5	9.30325314
0.55	14.0764914
0.6	19.6256769
0.65	26.7649448
0.7	35.6729252
0.75	47.8694274
0.8	61.3573211
0.85	77.2815765
0.9	96.1458791
0.95	120.275326
1.0	150.817184
1.05	176.202826
1.1	209.1895
1.15	247.370655
1.2	295.089791
1.25	344.599161
1.3	400.1247
1.35	461.020914
1.4	536.033243
1.45	610.957562
1.5	690.606888
1.55	776.888744
1.6	876.817154
1.65	973.693386
1.7	1074.88374
1.75	1177.7177
1.8	1294.16888
1.85	1450.14585
1.9	1530.04553
1.95	1644.64558
2.0	1779.94987
2.05	1906.50567
2.1	2031.89533
2.15	2151.4527
2.2	2264.01212
2.25	2378.61206
2.3	2476.29941
2.35	2566.69638
2.4	2648.34566
2.45	2731.4527
2.5	2801.4374
2.55	2864.71541
2.6	2924.78618
2.65	2981.94052
2.7	3030.92948
2.75	3080.79412
2.8	3122.7849
2.85	3168.56662
2.9	3208.80767
2.95	3242.0503
3.0	3277.04311
3.05	3310.28597
3.1	3341.19564
3.15	3368.31529
3.2	3391.06028
3.25	3412.63856
3.3	3433.63453
3.35	3449.08959
3.4	3462.21169
3.45	3478.24953
3.5	3487.87243
3.55	3500.12025
3.6	3506.8267
3.65	3515.28358
3.7	3522.5735
3.75	3528.69742
3.8	3533.65461
3.85	3539.77783
3.9	3542.11102
3.95	3547.06822
4.0	3549.69245
4.05	3549.98396
4.1	3551.44241
4.15	3554.35815
4.2	3552.89993
4.25	3553.77467
4.3	3549.98396
4.35	3548.23424
4.4	3547.65099
4.45	3544.73502
4.5	3539.77783
4.55	3538.90285
4.6	3532.1964
4.65	3526.07248
4.7	3520.53181
4.75	3516.44959
4.8	3510.03464
4.85	3505.66069
4.9	3498.95353
4.95	3493.99634
5.0	3486.12317
