V	uW
0.0	199.457791
0.05	20.4129956
0.1	6.99933435
0.15	4.37486278
0.2	3.50009623
0.25	3.50009623
0.3	2.25984968
0.35	4.10873554
0.4	6.80871381
0.45	10.8293334
0.5	15.9944939
0.55	24.2705082
0.6	34.0564875
0.65	45.9835792
0.7	61.2401855
0.75	81.9288398
0.8	104.869381
0.85	137.258598
0.9	165.696401
0.95	206.959056
1.0	251.420628
1.05	302.954955
1.1	361.444632
1.15	428.327738
1.2	511.762802
1.25	597.399019
1.3	693.394919
1.35	799.721107
1.4	928.615569
1.45	1058.83076
1.5	1200.66747
1.55	1401.44816
1.6	1544.91712
1.65	1720.46258
1.7	1909.71349
1.75	2105.37948
1.8	2333.12184
1.85	2553.28277
1.9	2781.31664
1.95	3023.34805
2.0	3303.57882
2.05	3566.0225
2.1	3824.96649
2.15	4082.16054
2.2	4325.35866
2.25	4574.6793
2.3	4790.46581
2.35	4982.34155
2.4	5156.13751
2.45	5317.97716
2.5	5448.61564
2.55	5556.80087
2.6	5653.61278
2.65	5741.38574
2.7	5813.99491
2.75	5872.8992
2.8	5921.88863
2.85	5970.8776
2.9	6002.95421
2.95	6030.07386
3.0	6053.11012
3.05	6070.02294
3.1	6085.76974
3.15	6098.0171
3.2	6102.09955
3.25	6109.97295
3.3	6111.13897
3.35	6106.76501
3.4	6106.18154
3.45	6095.6846
3.5	6083.43678
3.55	6071.18988
3.6	6054.5681
3.65	6033.57283
3.7	6016.65955
3.75	5991.8738
3.8	5971.46107
3.85	5947.84133
3.9	5920.13914
3.95	5898.55993
4.0	5875.5232
4.05	5848.69599
4.1	5823.90931
4.15	5792.41663
4.2	5764.71444
4.25	5739.63625
4.3	5712.22557
4.35	5680.44093
4.4	5654.77926
4.45	5623.28659
4.5	5596.74995
4.55	5566.42376
4.6	5540.47059
4.65	5513.05991
4.7	5485.64922
4.75	5456.78055
4.8	5427.91188
4.85	5400.50119
4.9	5372.50703
4.95	5338.68093
5.0	5306.89629
