V	uW
0.0	65.0283255
0.05	10.4985729
0.1	5.24962934
0.15	3.50009623
0.2	2.33368337
0.25	0.498993586
0.3	0.645717307
0.35	0.645717307
0.4	0.557687372
0.45	0.645717307
0.5	0.557687372
0.55	0.465609759
0.6	0.468536939
0.65	0.459752698
0.7	0.465609759
0.75	0.465609759
0.8	0.468536939
0.85	0.457685815
0.9	0.456803917
0.95	0.455922162
1.0	0.45445239
1.05	0.452394715
1.1	0.450924915
1.15	0.448422185
1.2	0.447682339
1.25	0.448303837
1.3	0.450464114
1.35	0.456619375
1.4	0.482187772
1.45	0.550162724
1.5	0.730531895
1.55	1.16513411
1.6	2.33722926
1.65	4.36639493
1.7	8.64078356
1.75	17.2039472
1.8	31.5966972
1.85	52.5137548
1.9	78.9887927
1.95	109.197448
2.0	152.431312
2.05	191.727711
2.1	244.758732
2.15	311.817916
2.2	393.638911
2.25	498.879235
2.3	601.507723
2.35	705.045823
2.4	809.112273
2.45	921.10259
2.5	1022.17565
2.55	1120.93019
2.6	1215.42928
2.65	1350.126
2.7	1403.48927
2.75	1474.9323
2.8	1539.66842
2.85	1603.82094
2.9	1653.97697
2.95	1697.42596
3.0	1735.0429
3.05	1768.28576
3.1	1799.19577
3.15	1824.56523
3.2	1846.14386
3.25	1864.80652
3.3	1883.76079
3.35	1898.92401
3.4	1911.46298
3.45	1920.79437
3.5	1933.04173
3.55	1939.74853
3.6	1946.74707
3.65	1951.996
3.7	1956.6617
3.75	1961.03565
3.8	1965.40961
3.85	1968.32581
3.9	1972.69977
3.95	1973.86625
4.0	1975.90748
4.05	1977.07373
4.1	1976.49049
4.15	1975.32424
4.2	1972.69977
4.25	1969.78357
4.3	1966.57632
4.35	1963.07688
4.4	1958.41119
4.45	1955.20348
4.5	1951.41265
4.55	1947.33031
4.6	1944.1226
4.65	1939.45691
4.7	1935.95781
4.75	1930.70888
4.8	1926.33492
4.85	1920.79437
4.9	1916.12868
4.95	1911.46298
5.0	1905.63081
5.05	1901.84009
5.1	1895.13329
5.15	1889.00973
5.2	1882.01084
5.25	1875.88739
5.3	1870.05545
5.35	1863.05703
5.4	1855.47525
5.45	1848.47671
5.5	1838.85382
5.55	1830.68868
5.6	1820.77417
5.65	1811.15116
5.7	1801.81989
5.75	1791.32237
5.8	1779.36652
5.85	1770.03525
5.9	1759.53738
5.95	1749.33148
6.0	1739.41685
6.05	1728.62737
6.1	1719.87934
6.15	1710.25633
6.2	1700.05043
6.25	1689.55256
6.3	1679.63805
6.35	1669.72342
6.4	1659.80915
6.45	1649.01966
6.5	1637.64716
6.55	1627.73253
6.6	1615.48518
6.65	1603.52932
6.7	1589.53236
6.75	1577.86824
6.8	1565.3295
6.85	1552.79052
6.9	1541.1264
6.95	1530.92016
7.0	1522.17213
