V	uW
0.0	100.020879
0.05	14.8725776
0.1	6.4160422
0.15	3.79157063
0.2	3.79157063
0.25	0.645717307
0.3	0.616381158
0.35	0.587023521
0.4	0.557687372
0.45	0.528329736
0.5	0.587023521
0.55	0.465609759
0.6	0.486108092
0.65	0.474394
0.7	0.471466791
0.75	0.468536939
0.8	0.474394
0.85	0.463858839
0.9	0.462977113
0.95	0.464152862
1.0	0.462683062
1.05	0.461507312
1.1	0.45974349
1.15	0.456323505
1.2	0.455731595
1.25	0.456974561
1.3	0.462242042
1.35	0.485117425
1.4	0.578394406
1.45	0.844346403
1.5	1.59646459
1.55	3.12267503
1.6	6.68216671
1.65	12.7590829
1.7	23.7370532
1.75	39.4241215
1.8	68.4497354
1.85	104.658546
1.9	155.835631
1.95	207.839475
2.0	279.242115
2.05	357.365323
2.1	451.805769
2.15	568.286225
2.2	710.387132
2.25	887.440925
2.3	1054.07636
2.35	1218.51068
2.4	1420.1107
2.45	1564.16302
2.5	1716.67186
2.55	1865.68114
2.6	2005.65089
2.65	2142.41305
2.7	2251.76453
2.75	2350.32663
2.8	2436.34987
2.85	2518.58192
2.9	2582.15168
2.95	2634.93205
3.0	2680.1303
3.05	2715.70589
3.1	2747.19927
3.15	2772.56873
3.2	2793.564
3.25	2811.35202
3.3	2829.43132
3.35	2842.26215
3.4	2856.55074
3.45	2865.59039
3.5	2876.08802
3.55	2885.12767
3.6	2892.4176
3.65	2896.79226
3.7	2902.33223
3.75	2904.95693
3.8	2905.83191
3.85	2904.37369
3.9	2902.91547
3.95	2899.70799
4.0	2896.79226
4.05	2894.16732
4.1	2891.25158
4.15	2887.75191
4.2	2885.12767
4.25	2882.21193
4.3	2880.17048
4.35	2876.96277
4.4	2875.50502
4.45	2875.21328
4.5	2872.29731
4.55	2867.04837
4.6	2863.54916
4.65	2858.88347
4.7	2854.21801
4.75	2852.46805
4.8	2850.42683
4.85	2850.42683
4.9	2846.05287
4.95	2843.13667
5.0	2838.17947
5.05	2832.63926
5.1	2827.09859
5.15	2823.30788
5.2	2814.5595
5.25	2808.72756
5.3	2802.31237
5.35	2795.60522
5.4	2786.27407
5.45	2776.65094
5.5	2766.73678
5.55	2757.11389
5.6	2745.15804
5.65	2735.53515
5.7	2725.32878
5.75	2715.70589
5.8	2705.20826
5.85	2695.29386
5.9	2684.21299
5.95	2676.63109
6.0	2672.54887
6.05	2667.59144
6.1	2662.34251
6.15	2657.96855
6.2	2651.84464
6.25	2647.47068
6.3	2639.88902
6.35	2632.89036
6.4	2626.18368
6.45	2617.72727
6.5	2608.39588
6.55	2599.06473
6.6	2589.73334
6.65	2577.48598
6.7	2566.69638
6.75	2553.57428
6.8	2540.45241
6.85	2527.33007
6.9	2512.16674
6.95	2501.37737
7.0	2492.33772
