V	uW
0.0	115.184252
0.05	14.8725776
0.1	5.83292149
0.15	3.50009623
0.2	3.50009623
0.25	0.645717307
0.3	0.675074887
0.35	0.675074887
0.4	0.645717307
0.45	0.616381158
0.5	0.557687372
0.55	0.474394
0.6	0.468536939
0.65	0.465609759
0.7	0.471466791
0.75	0.471466791
0.8	0.465609759
0.85	0.458273718
0.9	0.456216043
0.95	0.458273718
1.0	0.456216043
1.05	0.455922162
1.1	0.454158368
1.15	0.452624391
1.2	0.454399952
1.25	0.45656023
1.3	0.468634198
1.35	0.513704208
1.4	0.686408782
1.45	1.1525276
1.5	2.36397909
1.55	4.75294473
1.6	10.1569995
1.65	20.1147068
1.7	36.8911169
1.75	64.4467073
1.8	110.017383
1.85	171.507243
1.9	233.694722
1.95	309.70489
2.0	407.725718
2.05	513.259554
2.1	640.539918
2.15	799.368892
2.2	995.05845
2.25	1251.79102
2.3	1544.33411
2.35	1765.95291
2.4	2015.85726
2.45	2282.38292
2.5	2516.24919
2.55	2735.53515
2.6	2932.65912
2.65	3119.86846
2.7	3262.75453
2.75	3381.43739
2.8	3481.45748
2.85	3571.85421
2.9	3639.21467
2.95	3695.49426
3.0	3742.73397
3.05	3784.1415
3.1	3819.13432
3.15	3841.00433
3.2	3857.62611
3.25	3869.87324
3.3	3880.37111
3.35	3886.49502
3.4	3888.24404
3.45	3891.74395
3.5	3892.90974
3.55	3893.20147
3.6	3895.82617
3.65	3898.74191
3.7	3901.36614
3.75	3902.82436
3.8	3904.28258
3.85	3908.36503
3.9	3909.24001
3.95	3910.40649
4.0	3910.40649
4.05	3911.57251
4.1	3911.28054
4.15	3910.698
4.2	3909.24001
4.25	3908.36503
4.3	3904.28258
4.35	3899.32538
4.4	3892.61823
4.45	3887.36906
4.5	3878.32941
4.55	3867.249
4.6	3853.25216
4.65	3842.17082
4.7	3829.34045
4.75	3812.71867
4.8	3799.5968
4.85	3784.72474
4.9	3769.85292
4.95	3754.69006
5.0	3737.48504
5.05	3722.02997
5.1	3706.57537
5.15	3689.95359
5.2	3670.99931
5.25	3654.37823
5.3	3635.71569
5.35	3618.21894
5.4	3599.26466
5.45	3581.7686
5.5	3563.10606
5.55	3543.86028
5.6	3518.49105
5.65	3494.87108
5.7	3470.08463
5.75	3446.17316
5.8	3421.3867
5.85	3401.84988
5.9	3384.06139
5.95	3364.23307
6.0	3342.07062
6.05	3321.94986
6.1	3300.95459
6.15	3277.91809
6.2	3256.92235
6.25	3233.88563
6.3	3215.22309
6.35	3195.68557
6.4	3174.98203
6.45	3151.94484
6.5	3128.90811
6.55	3107.62157
6.6	3087.20907
6.65	3067.37982
6.7	3050.75874
6.75	3034.42869
6.8	3017.51588
6.85	3000.60306
6.9	2984.27301
6.95	2966.77696
7.0	2952.19664
