V	uW
0.0	83.3994563
0.05	12.248106
0.1	4.66650908
0.15	3.79157063
0.2	3.50009623
0.25	0.645717307
0.3	0.616381158
0.35	0.587023521
0.4	0.557687372
0.45	0.616381158
0.5	0.587023521
0.55	0.462679878
0.6	0.474394
0.65	0.465609759
0.7	0.468536939
0.75	0.477323852
0.8	0.474394
0.85	0.461507312
0.9	0.461801164
0.95	0.46121329
1.0	0.460625415
1.05	0.459449637
1.1	0.458861592
1.15	0.45647144
1.2	0.457063351
1.25	0.456796954
1.3	0.460022619
1.35	0.471120018
1.4	0.512579732
1.45	0.631898558
1.5	0.947418698
1.55	1.7510846
1.6	3.48394428
1.65	6.58751287
1.7	11.9692277
1.75	22.6125758
1.8	38.2557155
1.85	59.5827478
1.9	88.1691158
1.95	123.941601
2.0	175.703943
2.05	224.890435
2.1	291.303964
2.15	376.734679
2.2	480.448973
2.25	605.322828
2.3	720.922893
2.35	837.638159
2.4	957.023993
2.45	1091.2891
2.5	1215.69342
2.55	1376.95333
2.6	1470.84997
2.65	1594.78129
2.7	1704.13288
2.75	1807.65206
2.8	1900.09049
2.85	1990.77907
2.9	2064.55495
2.95	2129.58269
3.0	2186.44552
3.05	2236.8927
3.1	2283.54917
3.15	2319.12499
3.2	2349.74315
3.25	2376.27933
3.3	2401.64879
3.35	2422.35279
3.4	2438.97433
3.45	2455.88692
3.5	2474.25819
3.55	2490.588
3.6	2504.87658
3.65	2521.49813
3.7	2539.28569
3.75	2553.28277
3.8	2566.98811
3.85	2579.52698
3.9	2590.31635
3.95	2598.77299
4.0	2605.18817
4.05	2608.68762
4.1	2611.31208
4.15	2611.02035
4.2	2610.43711
4.25	2606.64616
4.3	2603.43868
4.35	2597.60651
4.4	2593.23232
4.45	2587.40061
4.5	2580.69322
4.55	2574.86152
4.6	2568.1546
4.65	2561.73941
4.7	2554.15775
4.75	2547.7421
4.8	2538.70245
4.85	2532.579
4.9	2522.95588
4.95	2514.79098
5.0	2506.33457
5.05	2495.8367
5.1	2487.08855
5.15	2478.92388
5.2	2468.42601
5.25	2459.9696
5.3	2449.18023
5.35	2440.14058
5.4	2429.05971
5.45	2420.89457
5.5	2410.68867
5.55	2400.48254
5.6	2387.94344
5.65	2375.11308
5.7	2361.40727
5.75	2348.86864
5.8	2334.58006
5.85	2322.91594
5.9	2309.21037
5.95	2295.79653
6.0	2280.63343
6.05	2266.92786
6.1	2250.59805
6.15	2235.72645
6.2	2219.10514
6.25	2201.02537
6.3	2183.52932
6.35	2167.78251
6.4	2153.49393
6.45	2138.33083
6.5	2125.79174
6.55	2112.96137
6.6	2100.42228
6.65	2084.96698
6.7	2069.51215
6.75	2054.93206
6.8	2038.31051
6.85	2021.6892
6.9	2007.10888
6.95	1993.69527
7.0	1977.65697
