V	MHz
0.0	64.02203459
0.004884004884	64.02090748
0.00976800976801	64.07610931
0.014652014652	64.09676622
0.019536019536	64.150725
0.02442002442	64.19866064
0.029304029304	64.22424672
0.034188034188	64.27752002
0.039072039072	64.29753398
0.043956043956	64.35018815
0.04884004884	64.40012434
0.0537240537241	64.42448508
0.0586080586081	64.47725337
0.0634920634921	64.4968187
0.0683760683761	64.54906843
0.0732600732601	64.5981451
0.0781440781441	64.62047654
0.0830280830281	64.67330056
0.0879120879121	64.69369931
0.0927960927961	64.74664892
0.0976800976801	64.79699106
0.102564102564	64.81820877
0.107448107448	64.87017802
0.112332112332	64.88949813
0.117216117216	64.94107005
0.1221001221	64.99121669
0.126984126984	65.01249926
0.131868131868	65.06453483
0.136752136752	65.08367822
0.141636141636	65.13442266
0.14652014652	65.18538882
0.151404151404	65.20495738
0.156288156288	65.25557479
0.161172161172	65.27465169
0.166056166056	65.32605608
0.17094017094	65.37807553
0.175824175824	65.39802663
0.180708180708	65.44826127
0.185592185592	65.46742193
0.190476190476	65.51847192
0.19536019536	65.5687959
0.200244200244	65.5873926
0.205128205128	65.63886919
0.210012210012	65.68450568
0.214896214896	65.70851386
0.21978021978	65.75865151
0.224664224664	65.77735854
0.229548229548	65.82707899
0.234432234432	65.87209667
0.239316239316	65.89551575
0.2442002442	65.94679227
0.249084249084	65.96586602
0.253968253968	66.01594155
0.258852258852	66.06102344
0.263736263736	66.08343947
0.26862026862	66.13332859
0.273504273504	66.15201799
0.278388278388	66.20066296
0.283272283272	66.24778613
0.288156288156	66.26896526
0.29304029304	66.31884784
0.297924297924	66.33638867
0.302808302808	66.38464307
0.307692307692	66.43074485
0.312576312576	66.45051781
0.31746031746	66.49781658
0.322344322344	66.51680634
0.327228327228	66.56629944
0.332112332112	66.61419632
0.336996336996	66.63321914
0.34188034188	66.68210043
0.346764346764	66.70009112
0.351648351648	66.7480276
0.356532356532	66.79600892
0.361416361416	66.81180259
0.3663003663	66.86355738
0.371184371184	66.88179328
0.376068376068	66.92942517
0.380952380952	66.97750045
0.385836385836	66.99508795
0.39072039072	67.04275613
0.395604395604	67.08604178
0.400488400488	67.10956336
0.405372405372	67.15751185
0.410256410256	67.17545709
0.41514041514	67.22266142
0.420024420024	67.26649447
0.424908424908	67.28815659
0.429792429792	67.334711
0.434676434676	67.35233964
0.43956043956	67.39987654
0.444444444444	67.44421157
0.449328449328	67.46559008
0.454212454212	67.51142535
0.459096459096	67.52908926
0.46398046398	67.57560107
0.468864468864	67.61943819
0.473748473748	67.63913429
0.478632478632	67.68613391
0.483516483516	67.70345793
0.4884004884	67.75034197
0.493284493284	67.7948547
0.498168498168	67.81435546
0.503052503053	67.8604191
0.507936507937	67.87784407
0.512820512821	67.92353845
0.517704517705	67.96974569
0.522588522589	67.9874662
0.527472527473	68.03414748
0.532356532357	68.05016561
0.537240537241	68.09634165
0.542124542125	68.14101716
0.547008547009	68.15830177
0.551892551893	68.20378473
0.556776556777	68.24576014
0.561660561661	68.26827145
0.566544566545	68.31337934
0.571428571429	68.33054268
0.576312576313	68.37563477
0.581196581197	68.41692361
0.586080586081	68.43755492
0.590964590965	68.48231663
0.595848595849	68.50028005
0.600732600733	68.54572374
0.605616605617	68.58722437
0.610500610501	68.60736432
0.615384615385	68.65112168
0.620268620269	68.6684302
0.625152625153	68.71252762
0.630036630037	68.75486656
0.634920634921	68.7748988
0.639804639805	68.82061878
0.644688644689	68.83734192
0.649572649573	68.88218554
0.654456654457	68.92546028
0.659340659341	68.94391663
0.664224664225	68.98816593
0.669108669109	69.00487424
0.673992673993	69.04949519
0.678876678877	69.09361654
0.683760683761	69.11080183
0.688644688645	69.1545554
0.693528693529	69.17070765
0.698412698413	69.21522032
0.703296703297	69.25895756
0.708180708181	69.27557997
0.713064713065	69.3207202
0.717948717949	69.33800524
0.722832722833	69.38207464
0.727716727717	69.42531058
0.732600732601	69.44185729
0.737484737485	69.48568255
0.742368742369	69.52525591
0.747252747253	69.54603931
0.752136752137	69.58962751
0.757020757021	69.60619523
0.761904761905	69.64938343
0.766788766789	69.68876714
0.771672771673	69.70823076
0.776556776557	69.75119444
0.781440781441	69.76703186
0.786324786325	69.81024603
0.791208791209	69.85137904
0.796092796093	69.87001937
0.800976800977	69.91336742
0.805860805861	69.92932432
0.810744810745	69.97294025
0.815628815629	70.01375494
0.820512820513	70.03153832
0.825396825397	70.07431852
0.830280830281	70.09034438
0.835164835165	70.13358596
0.840048840049	70.17570081
0.844932844933	70.19238384
0.849816849817	70.23492163
0.854700854701	70.25081316
0.859584859585	70.29300119
0.864468864469	70.33585486
0.869352869353	70.35202771
0.874236874237	70.39492041
0.879120879121	70.411722
0.884004884005	70.45362742
0.888888888889	70.49609733
0.893772893773	70.51179553
0.898656898657	70.55410297
0.903540903541	70.59185842
0.908424908425	70.61240548
0.913308913309	70.65537436
0.918192918193	70.67113117
0.923076923077	70.71265102
0.927960927961	70.75134719
0.932844932845	70.7704799
0.937728937729	70.81187381
0.942612942613	70.82710629
0.947496947497	70.86908554
0.952380952381	70.90873372
0.957264957265	70.9276181
0.962148962149	70.96957855
0.967032967033	70.98587572
0.971916971917	71.02802457
0.976800976801	71.06743553
0.981684981685	71.08535328
0.986568986569	71.12836202
0.991452991453	71.14416401
0.996336996337	71.186175
1.00122100122	71.22535565
1.00610500611	71.24332468
1.01098901099	71.28485083
1.01587301587	71.30021132
1.02075702076	71.34201521
1.02564102564	71.38308697
1.03052503053	71.40039336
1.03540903541	71.44182375
1.04029304029	71.45726317
