V	%
0	0.0
0.004	1.19222485485e-05
0.008	0.000265985027179
0.012	0.00135591604171
0.016	0.00433790630079
0.02	0.0107630379537
0.024	0.022541254154
0.028	0.0413878676692
0.032	0.0705202280622
0.036	0.113126433731
0.04	0.171629011732
0.044	0.251234091539
0.048	0.353477496068
0.052	0.484155229033
0.056	0.650426135497
0.06	0.852373048649
0.064	1.08728789625
0.068	1.3679299046
0.072	1.68738147955
0.076	2.07574870584
0.08	2.50940598815
0.084	3.02833175854
0.088	3.61948281901
0.092	4.26217292556
0.096	5.00994812703
0.1	5.87025614529
0.104	6.83588713
0.108	7.73520338093
0.112	8.82849756818
0.116	10.0630476392
0.12	11.337669123
0.124	12.732862848
0.128	14.1951983262
0.132	15.4875501197
0.136	17.22778922
0.14	18.9140086845
0.144	20.7249354172
0.148	22.7461482758
0.152	24.7397049739
0.156	27.0034522108
0.16	29.1535329564
0.164	31.3555324987
0.168	33.5799585203
0.172	35.8976125974
0.176	38.5350604305
0.18	41.0627569264
0.184	43.6907684084
0.188	46.2928167423
0.192	48.9715637568
0.196	51.5122501465
0.2	54.6004787883
0.204	57.2922121812
0.208	59.6192993284
0.212	63.0167053918
0.216	66.060105214
0.22	68.5783620778
0.224	72.5905823315
0.228	74.8138386814
0.232	75.2858556743
0.236	78.6938883838
0.24	79.4691929591
0.244	83.2135455186
0.248	85.2231923144
0.252	87.6647504977
0.256	89.5080208189
0.26	91.2981855637
0.264	91.852814512
0.268	92.7980491044
0.272	93.7893028115
0.276	94.6306791869
0.28	95.0956436996
0.284	95.7458505928
0.288	96.9919992083
0.292	96.4786694414
0.296	96.7123180884
0.3	96.8775349686
0.304	97.330672463
0.308	98.0328119799
0.312	97.9738200796
0.316	98.4245976073
0.32	98.4871362539
0.324	98.6617930006
0.328	98.540235034
0.332	98.2688341862
0.336	98.4304975239
0.34	98.5473149338
0.344	98.8659420649
0.348	99.1833826507
0.352	99.7203050531
0.356	99.722671816
0.36	99.6530532696
0.364	99.8099969084
0.368	99.3780920829
0.372	98.8706619981
0.376	98.8683088278
0.38	99.1833826507
0.384	99.3049335865
0.388	99.5102560722
0.392	100.0
