V	%
0.004	0.0
0.008	0.000361261097549
0.012	0.0018816840026
0.016	0.00601032009227
0.02	0.0148173772495
0.024	0.0306806114576
0.028	0.0569879994877
0.032	0.0970231045678
0.036	0.154936984673
0.04	0.244451400704
0.044	0.34360162892
0.048	0.486267618066
0.052	0.664844243431
0.056	0.888349176778
0.06	1.15771702504
0.064	1.47302221743
0.068	1.85005853752
0.072	2.28508753023
0.076	2.80925961358
0.08	3.41626131243
0.084	4.08919752095
0.088	4.82307732575
0.092	5.68415477823
0.096	6.59853160155
0.1	7.65104248294
0.104	8.80696712962
0.108	10.080534137
0.112	11.4278914547
0.116	12.8642248932
0.12	14.4401761115
0.124	16.1019169796
0.128	17.8286406577
0.132	19.6298936127
0.136	21.467885215
0.14	24.3841537501
0.144	25.6285359673
0.148	27.8215727416
0.152	29.9881159701
0.156	32.2511102803
0.16	34.8045360252
0.164	37.2159181044
0.168	39.6283659541
0.172	42.3810594365
0.176	45.2015907017
0.18	48.0952557643
0.184	50.4017106965
0.188	53.3006782994
0.192	55.8286611131
0.196	58.8738906274
0.2	62.0357362429
0.204	65.096875904
0.208	67.2888559592
0.212	69.8857303277
0.216	72.1243445302
0.22	74.5431609013
0.224	77.6572939689
0.228	80.5255192578
0.232	82.6072666788
0.236	84.0954327115
0.24	86.0309121167
0.244	88.1052284033
0.248	90.2336040774
0.252	91.9178702166
0.256	92.6047201098
0.26	93.8703013314
0.264	95.2948751922
0.268	95.9647674816
0.272	95.6478542891
0.276	96.6325337028
0.28	97.3808684345
0.284	97.4190235693
0.288	98.4058349452
0.292	99.1297803071
0.296	99.6343145936
0.3	99.1000978697
0.304	99.4053646292
0.308	99.4043108572
0.312	99.2283542993
0.316	99.2347135586
0.32	99.2696951683
0.324	99.2135221321
0.328	99.1234210478
0.332	99.0683078882
0.336	99.4594301213
0.34	99.1923187071
0.344	99.0046974026
0.348	98.8573756147
0.352	98.990931427
0.356	98.9188541381
0.36	99.5622373047
0.364	98.7842386597
0.368	98.6496229708
0.372	99.2495577243
0.376	99.5505788731
0.38	99.1753608928
0.384	98.8117891349
0.388	99.1266006775
0.392	99.2347135586
0.396	99.2590966133
0.4	99.3460058589
0.404	99.4212625669
0.408	99.1827798181
0.412	99.4202026904
0.416	99.3099702667
0.42	98.7354786549
0.424	98.6125277125
0.428	99.2453121136
0.432	98.8520640228
0.436	99.0322725065
0.44	99.3809876791
0.444	98.8117891349
0.448	98.8499505848
0.452	98.887045843
0.456	99.0884394381
0.46	98.4503493393
0.464	99.0153083772
0.468	99.4583763493
0.472	99.2644082051
0.476	99.7042721294
0.48	97.981850645
0.484	99.401125123
0.488	99.2495577243
0.492	100.0
