V	%
0.004	0.0
0.008	0.000209298288747
0.012	0.00122741077286
0.016	0.00399669290125
0.02	0.00973078824112
0.024	0.0203971848556
0.028	0.0380416664418
0.032	0.0650759897165
0.036	0.104058869122
0.04	0.158266400597
0.044	0.230595196815
0.048	0.325629907927
0.052	0.446870932404
0.056	0.597190267459
0.06	0.776562776688
0.064	1.00401079326
0.068	1.26679079081
0.072	1.57812913216
0.076	1.94692398861
0.08	2.37037049522
0.084	2.82935306421
0.088	3.38184879814
0.092	3.99395512535
0.096	4.67446998223
0.1	5.45550394639
0.104	6.32901425957
0.108	7.26658923103
0.112	8.26730062221
0.116	9.5203723612
0.12	10.6351002572
0.124	12.0330137299
0.128	13.2543300503
0.132	14.7733177038
0.136	16.1654753096
0.14	17.9011676927
0.144	19.6301753445
0.148	21.4965980485
0.152	23.2555014388
0.156	25.3375158182
0.16	27.4419992178
0.164	29.695598195
0.168	31.9270951694
0.172	34.1474540912
0.176	36.6948188267
0.18	39.3032822234
0.184	41.8534141133
0.188	44.0483306548
0.192	46.7141074523
0.196	49.2482608863
0.2	51.819493056
0.204	54.5204978554
0.208	57.1677408074
0.212	60.2543292623
0.216	62.8200003947
0.22	65.8231685052
0.224	68.2164379116
0.228	71.0731613254
0.232	73.6499541642
0.236	75.9876028899
0.24	78.4346396661
0.244	80.8075079261
0.248	83.3435308699
0.252	85.9703785661
0.256	87.2087179191
0.26	88.4470627945
0.264	90.0098258065
0.268	92.0174953585
0.272	92.8368796785
0.276	94.2717241079
0.28	94.9335468111
0.284	96.3350143406
0.288	96.5370745637
0.292	96.5574860186
0.296	97.6271368942
0.3	97.2044689807
0.304	97.8903677905
0.308	98.459485923
0.312	98.0442327258
0.316	98.3297188157
0.32	99.2696022158
0.324	98.9767124544
0.328	98.4502285724
0.332	98.5299253597
0.336	98.5762669684
0.34	98.6114971793
0.344	98.3074853434
0.348	99.2770169321
0.352	99.9592190604
0.356	99.5402478284
0.36	98.7838989053
0.364	98.9989455585
0.368	97.9107582603
0.372	99.3956512884
0.376	99.5903074718
0.38	100.0
